Wall time,Step,Reward
1715370602,415872,-83.73649597
1715370633,416000,-82.88065338
1715370665,416128,-83.06972504
1715370696,416256,-82.83766937
1715370728,416384,-82.8068161
1715370760,416512,-82.7769928
1715370791,416640,-82.86502075
1715370823,416768,-81.01596069
1715370854,416896,-80.73790741
1715370886,417024,-80.50896454
1715370918,417152,-80.28973389
1715370949,417280,-80.74539948
1715370981,417408,-80.74491119
1715371012,417536,-80.30874634
1715371044,417664,-79.77502441
1715371076,417792,-79.43023682
1715371107,417920,-79.59536743
1715371139,418048,-79.62084198
1715371170,418176,-79.81200409
1715371202,418304,-79.87888336
1715371234,418432,-80.54421997
1715371265,418560,-80.49700165
1715371297,418688,-80.25186157
1715371329,418816,-81.1034317
1715371360,418944,-81.31932068
1715371392,419072,-81.54632568
1715371423,419200,-80.01140594
1715371455,419328,-79.75905609
1715371487,419456,-80.28762817
1715371518,419584,-79.98258209
1715371550,419712,-79.26906586
1715371581,419840,-78.82472229
1715371613,419968,-78.90049744
1715371645,420096,-78.54279327
1715371676,420224,-78.41266632
1715371708,420352,-78.67974091
1715371739,420480,-79.30144501
1715371771,420608,-80.13645172
1715371803,420736,-80.05327606
1715371834,420864,-79.9905777
1715371866,420992,-80.54598999
1715371897,421120,-81.18711853
1715371929,421248,-80.72380066
1715371961,421376,-80.57218933
1715371992,421504,-80.40273285
1715372024,421632,-80.29985046
1715372055,421760,-80.55123901
1715372087,421888,-81.07874298
1715372119,422016,-80.74659729
1715372150,422144,-80.84003448
1715372182,422272,-81.35266113
1715372213,422400,-81.85475159
1715372245,422528,-81.73977661
1715372277,422656,-81.65023041
1715372308,422784,-81.99705505
1715372340,422912,-81.83512878
1715372372,423040,-82.18507385
1715372403,423168,-83.4222641
1715372435,423296,-84.14839935
1715372466,423424,-84.09529877
1715372498,423552,-84.18595123
1715372530,423680,-83.59396362
1715372561,423808,-83.82426453
1715372593,423936,-83.33367157
1715372624,424064,-83.78621674
1715372656,424192,-84.29918671
1715372688,424320,-84.69794464
1715372719,424448,-84.83443451
1715372751,424576,-85.22061157
1715372782,424704,-86.15312195
1715372814,424832,-85.56597137
1715372846,424960,-85.90856934
1715372877,425088,-86.38731384
1715372909,425216,-86.11962891
1715372940,425344,-86.09210968
1715372972,425472,-86.05873871
1715373004,425600,-87.70802307
1715373035,425728,-88.82465363
1715373067,425856,-89.00850677
1715373098,425984,-89.52851105
1715373130,426112,-89.96861267
1715373162,426240,-90.22473907
1715373193,426368,-90.73113251
1715373225,426496,-90.92101288
1715373257,426624,-91.25578308
1715373288,426752,-90.81847382
1715373320,426880,-90.69271088
1715373351,427008,-90.31551361
1715373383,427136,-90.09957123
1715373415,427264,-90.88648987
1715373449,427392,-91.21524048
1715373481,427520,-91.11396027
1715373512,427648,-91.14189911
1715373544,427776,-91.91951752
1715373576,427904,-92.0929718
1715373607,428032,-92.23685455
1715373639,428160,-92.34473419
1715373670,428288,-92.17037201
1715373702,428416,-92.25007629
1715373734,428544,-92.04224396
1715373765,428672,-92.28427887
1715373797,428800,-92.62658691
1715373828,428928,-92.74442291
1715373860,429056,-93.01899719
1715373892,429184,-93.21559143
1715373923,429312,-93.05254364
1715373955,429440,-93.1462326
